,Brands,Type,Ton,Star,Price_Range(₹),Avg_star_Range,Available
1181295,Hitachi,Split Inverter,1.0,3.0,"(40000, 45000]","(2.5, 3.0]",1
1181298,Hitachi,Split Inverter,1.0,3.0,"(40000, 45000]","(4.0, 4.5]",1
1184656,Hitachi,Split Inverter,1.5,3.0,"(40000, 45000]","(3.0, 3.5]",1
1184677,Hitachi,Split Inverter,1.5,3.0,"(50000, 55000]","(3.5, 4.0]",2
1184678,Hitachi,Split Inverter,1.5,3.0,"(50000, 55000]","(4.0, 4.5]",1
1184687,Hitachi,Split Inverter,1.5,3.0,"(55000, 60000]","(3.5, 4.0]",2
1185127,Hitachi,Split Inverter,1.5,5.0,"(65000, 70000]","(3.5, 4.0]",1
1186387,Hitachi,Split Inverter,1.8,3.0,"(65000, 70000]","(3.5, 4.0]",1
1187208,Hitachi,Split Inverter,2.0,3.0,"(55000, 60000]","(4.0, 4.5]",2
1187218,Hitachi,Split Inverter,2.0,3.0,"(60000, 65000]","(4.0, 4.5]",1
1231667,Hitachi,Window,1.0,3.0,"(25000, 30000]","(3.5, 4.0]",1
1231668,Hitachi,Window,1.0,3.0,"(25000, 30000]","(4.0, 4.5]",1
1232088,Hitachi,Window,1.0,5.0,"(25000, 30000]","(4.0, 4.5]",2
1235027,Hitachi,Window,1.5,3.0,"(25000, 30000]","(3.5, 4.0]",1
1235037,Hitachi,Window,1.5,3.0,"(30000, 35000]","(3.5, 4.0]",1
1235458,Hitachi,Window,1.5,5.0,"(30000, 35000]","(4.0, 4.5]",1
1235467,Hitachi,Window,1.5,5.0,"(35000, 40000]","(3.5, 4.0]",1
1237358,Hitachi,Window,2.0,2.0,"(35000, 40000]","(4.0, 4.5]",2
1255196,Hitachi,Window Inverter,1.5,3.0,"(30000, 35000]","(3.0, 3.5]",1
1257505,Hitachi,Window Inverter,2.0,2.0,"(30000, 35000]","(2.5, 3.0]",1
1295538,Ifb,Split Dual Inverter,1.5,3.0,"(40000, 45000]","(4.0, 4.5]",1
1295978,Ifb,Split Dual Inverter,1.5,5.0,"(50000, 55000]","(4.0, 4.5]",1
1322408,Ifb,Split Inverter,1.0,3.0,"(35000, 40000]","(4.0, 4.5]",1
1322418,Ifb,Split Inverter,1.0,3.0,"(40000, 45000]","(4.0, 4.5]",1
1325788,Ifb,Split Inverter,1.5,3.0,"(45000, 50000]","(4.0, 4.5]",2
1326228,Ifb,Split Inverter,1.5,5.0,"(55000, 60000]","(4.0, 4.5]",1
1328328,Ifb,Split Inverter,2.0,3.0,"(55000, 60000]","(4.0, 4.5]",1
1517257,Intex,Window,1.5,3.0,"(20000, 25000]","(3.5, 4.0]",1
1574428,Lg,Split Dual Inverter,1.0,3.0,"(45000, 50000]","(4.0, 4.5]",2
1574438,Lg,Split Dual Inverter,1.0,3.0,"(50000, 55000]","(4.0, 4.5]",2
1574448,Lg,Split Dual Inverter,1.0,3.0,"(55000, 60000]","(4.0, 4.5]",2
1574668,Lg,Split Dual Inverter,1.0,4.0,"(60000, 65000]","(4.0, 4.5]",1
1574868,Lg,Split Dual Inverter,1.0,5.0,"(55000, 60000]","(4.0, 4.5]",1
1574878,Lg,Split Dual Inverter,1.0,5.0,"(60000, 65000]","(4.0, 4.5]",3
1577798,Lg,Split Dual Inverter,1.5,3.0,"(50000, 55000]","(4.0, 4.5]",1
1577799,Lg,Split Dual Inverter,1.5,3.0,"(50000, 55000]","(4.5, 5.0]",1
