,Brands,Ton,Star,Type,Color,Condenser_Coil,Noise(dB),Power_Consumption,Refrigerant,Wi_Fi Enabled,Warranty,Ratings_Count,Reviews_Count,Avg_star,Offer_Price,Actual_Price
0,Voltas, 1.5 Ton, 4 Star,split inverter ,White,Copper,Noise level: 46 dB,Power Consumption: 1520 W,Refrigerant: R - 32,Wi-Fi Enabled: No,1 Year on Air Conditioner and 5 Years on Compressor,284,24,4,"₹34,999","₹69,990"
1,Whirlpool 4 in 1 Convertible Cooling, 1.5 Ton, 5 Star,split inverter ,White,Copper,Noise level: 35 dB,Power Consumption: 1325 W,Refrigerant: R - 32,Wi-Fi Enabled: No,1 Year on Product and 10 Years Warranty on Compressor,"1,449",160,4.1,"₹36,590","₹74,700"
2,Hitachi, 1.5 Ton, 3 Star,split inverter ,"White, Gold",Copper,Noise level: 36 dB,Power Consumption: 1098.1 kWh,Refrigerant: R32A,Wi-Fi Enabled: No,1 Year Warranty on Complete Product and 10 Years on Compressor,"1,672",175,4,"₹34,999","₹57,900"
3,Blue Star, 1 Ton,,portable ,"White, Grey",Copper,Noise level: 52 dB,Power Consumption: 1403 W,Refrigerant: R410A,Wi-Fi Enabled: No,1 Year on Product and 5 Years Warranty on Compressor From Blue Star,"3,771",562,3.8,"₹35,490","₹39,000"
4,ONIDA, 1.5 Ton, 3 Star,split inverter ,White,Copper,Noise level: 52 dB,Power Consumption: 1740 W,,Wi-Fi Enabled: No,1 Year Warranty on Product and 5 Years on Compressor from Onida,"1,677",306,4.5,"₹30,990","₹54,990"
5,Voltas, 1.5 Ton, 2 Star,split ,White,Copper,Noise level: 46 dB,Power Consumption: 1450 W,Refrigerant: R32A,Wi-Fi Enabled: No,1 Year Comprehensive Warranty on Product and 5 Years on Compressor,6,0,4.7,"₹30,999","₹61,990"
6,Voltas, 1.5 Ton, 5 Star,split inverter ,White,Copper,Noise level: 43 dB,Power Consumption: 1750 W,Refrigerant: R32A,Wi-Fi Enabled: No,1 Year on Product and Condenser and 5 Years on Compressor from Voltas,684,48,4.2,"₹38,499","₹69,990"
7,MarQ By Flipkart Convertible 4-in-1 Cooling, 1 Ton, 3 Star,split inverter ,White,Copper,Noise level: 40 dB,Power Consumption: 712.59 kWh,Refrigerant: R-32A,Wi-Fi Enabled: No,1 Year Warranty on Product and 10 Years on Compressor from MarQ by Flipkart,"1,974",278,3.9,"₹25,999","₹45,999"
8,CARRIER Flexicool Convertible 4-in-1 Cooling, 1.5 Ton, 4 Star,split inverter ,,Copper,Noise level: 37 dB,Power Consumption: 1595 W,Refrigerant: R32A,Wi-Fi Enabled: No,1 Year Warranty on Product and 10 Years on Compressor,"6,413",795,4.3,"₹37,999","₹68,490"
9,SAMSUNG, 1.5 Ton, 5 Star,split inverter ,White,Copper,Noise level: 49 dB,Power Consumption: 1380 W,Refrigerant: R - 32,Wi-Fi Enabled: No,1 Year Standard Warranty on Product and 10 Years Warranty on Compressor From Samsung,"19,774","2,004",4.2,"₹39,999","₹65,990"
10,CARRIER Flexicool Convertible 4-in-1 Cooling, 1.2 Ton, 5 Star,split inverter ,,Copper,Noise level: 32 dB,Power Consumption: 1050 W,Refrigerant: R32A,Wi-Fi Enabled: No,1 Year Warranty on Product and 10 Years on Compressor,"6,413",795,4.3,"₹36,999","₹64,590"
11,realme TechLife 4-in-1 Convertible, 1 Ton, 4 Star,split inverter ,White,Copper,Noise level: 40 dB,Power Consumption: 642.93 kWh,Refrigerant: R-32A,Wi-Fi Enabled: No,1 Year Warranty on Product and 10 Years on Compressor,119,22,4.1,"₹27,790","₹47,999"
12,Lloyd, 1.5 Ton, 3 Star,split ,White,Copper,Noise level: 42 dB,Power Consumption: 1087.62 kWh,Refrigerant: R-32A,Wi-Fi Enabled: No,1 Year Comprehensive Warranty on Product and 5 Years on Compressor,17,1,4.4,"₹32,999","₹52,990"
13,SAMSUNG, 1.5 Ton, 3 Star,split inverter ,White,Copper,Noise level: 45 dB,Power Consumption: 1700 W,Refrigerant: R-32A,Wi-Fi Enabled: No,1 Year Standard Warranty on Product and 10 Years on Compressor,"19,774","2,004",4.2,"₹33,999","₹57,990"
14,ONIDA, 1 Ton, 3 Star,split inverter ,White,Copper,Noise level: 50 dB,Power Consumption: 1220 W,,Wi-Fi Enabled: No,1 Year Warranty on Product and 5 Years on Compressor from Onida,"1,677",306,4.5,"₹25,999","₹44,990"
15,Blue Star, 0.8 Ton, 3 Star,split inverter ,White,Copper,Noise level: 55 dB,Power Consumption: 521.6 W,,Wi-Fi Enabled: No,1 Year on Product and 10 Years Warranty on Compressor From Blue Star,"4,246",537,4.2,"₹29,990","₹37,500"
16,Whirlpool 4 in 1 Convertible Cooling, 1 Ton, 5 Star,split inverter ,White,Copper,Noise level: 31 dB,Power Consumption: 840 W,Refrigerant: R - 32,Wi-Fi Enabled: No,1 Year on Product and 10 Years Warranty on Compressor,"1,449",160,4.1,"₹32,999","₹61,500"
17,Hitachi, 1.5 Ton, 3 Star,window ,White,Copper,Noise level: 50 dB,Power Consumption: 1277.28 kWh,Refrigerant: R32A,Wi-Fi Enabled: No,"1 Year Warranty on Product, 1 Year on PCB Controller and 10 Years on Compressor","1,280",139,4,"₹28,990","₹34,490"
18,Voltas, 1.5 Ton, 3 Star,window ,White,Copper,Noise level: 58 dB,Power Consumption: 1729 W,Refrigerant: R-32,Wi-Fi Enabled: No,1 Year on Product and 4 Years on Compressor,"5,310",494,4.3,"₹27,499","₹30,590"
19,Whirlpool, 1.5 Ton, 3 Star,split inverter ,White,Copper,Noise level: 43 dB,Power Consumption: 1660 W,Refrigerant: R32A,Wi-Fi Enabled: No,"1 Year on Product, 1 Year on Condenser and 10 Years on Compressor from Whirlpool","27,658","3,503",4.2,"₹31,990","₹53,900"
20,SAMSUNG, 1.5 Ton, 4 Star,split inverter ,White,Copper,Noise level: 45 dB,Power Consumption: 1490 W,Refrigerant: R-32A,Wi-Fi Enabled: No,1 Year Standard Warranty on Product and 10 Years on Compressor,"19,774","2,004",4.2,"₹35,999","₹62,990"
21,IFB, 1.5 Ton, 3 Star,split dual inverter ,White,Copper,Noise level: 39 dB,Power Consumption: 1088 W,Refrigerant: R-32,Wi-Fi Enabled: No,"1 Year Warranty on Product, 5 Years on ODU PCB and 10 Years on Compressor from IFB","1,130",120,4.2,"₹32,990","₹44,890"
22,Whirlpool 4 in 1 Convertible Cooling, 1.5 Ton, 3 Star,split inverter ,White,Copper,Noise level: 45 dB,Power Consumption: 1450 W,Refrigerant: R-32A,Wi-Fi Enabled: No,1 Year Warranty on Product and 10 Years on Compressor,"1,554",169,4.1,"₹32,990","₹62,200"
23,Panasonic, 1.5 Ton, 5 Star,split inverter ,White,Copper,Noise level: 46 dB,Power Consumption: 1360 W,Refrigerant: R-32,Wi-Fi Enabled: Yes,"1 Year Comprehensive Warranty, 4 Years on PCB and 9 Years on Compressor","7,158",844,4.3,"₹42,990","₹59,400"
47,Blue Star, 1 Ton, 3 Star,split ,White,Copper,Noise level: 34 dB,Power Consumption: 955 W,Refrigerant: R - 33,Wi-Fi Enabled: No,1 Year on Product and 5 Years Warranty on Compressor,"1,452",136,4.3,"₹28,499","₹44,750"
48,Voltas, 1.5 Ton, 3 Star,split inverter ,White,Copper,Noise level: 46 dB,Power Consumption: 1690 W,Refrigerant: R32A,Wi-Fi Enabled: No,1 Year Warranty on Product and 5 Years on Compressor,nan,,,"₹32,999","₹61,990"
49,Panasonic, 1 Ton, 5 Star,split inverter ,White,Copper,Noise level: 45 dB,Power Consumption: 990 W,Refrigerant: R-32,Wi-Fi Enabled: Yes,"1 Year Comprehensive Warranty, 4 Years on PCB and 9 Years on Compressor","7,158",844,4.3,"₹36,490","₹50,600"
50,Whirlpool, 1 Ton, 3 Star,split ,"White, Grey",Copper,Noise level: 33 dB,Power Consumption: 980 W,Refrigerant: R32A,Wi-Fi Enabled: No,1 Year on Product and 5 Years on Compressor from Whirlpool.,"7,252",805,4.1,"₹28,690","₹38,000"
52,Voltas, 1.5 Ton, 3 Star,split inverter ,White,,,,,Wi-Fi Enabled: No,1 year comprehensive and 5 year warranty on compressor,"3,818",319,4.2,"₹32,999","₹60,190"
53,CARRIER, 1 Ton, 3 Star,split ,White,Copper,Noise level: 32 dB,Power Consumption: 980 W,Refrigerant: R32A,Wi-Fi Enabled: No,1 Year Warranty on Product and 5 Years on Compressor,"4,123",425,4.3,"₹27,999","₹52,590"
56,Lloyd, 1.5 Ton, 5 Star,split inverter ,White,Copper,Noise level: 35 dB,Power Consumption: 864.66 kWh,Refrigerant: R-32A,Wi-Fi Enabled: Yes,1 Year Comprehensive Warranty on Product and 10 Years on Compressor,16,0,4.4,"₹38,999","₹63,990"
57,MarQ By Flipkart, 1 Ton, 3 Star,split ,White,Copper,Noise level: 39.6 db,Power Consumption: 958 W,Refrigerant: R-32,Wi-Fi Enabled: No,1 Year on Product and 5 Years on Compressor,"9,849","1,342",4.2,"₹24,999","₹36,999"
58,IFB, 1.5 Ton, 3 Star,split inverter ,White,Copper,Noise level: 35 db,Power Consumption: 1088.64 kWh,Refrigerant: R32A,Wi-Fi Enabled: No,"1 year warranty on product + 5 years on ODU PCB, 10 years on compressor","1,889",305,4.4,"₹35,999","₹49,590"
61,Lloyd, 1.5 Ton, 3 Star,window ,White,Copper,Noise level: 52 dB,Power Consumption: 1215.35 kWh,Refrigerant: R-32A,Wi-Fi Enabled: No,1 Year Comprehensive Warranty on Product and 5 Years on Compressor,3,0,3.3,"₹26,999","₹40,990"
62,realme TechLife 4-in-1 Convertible, 1.5 Ton, 4 Star,split inverter ,White,Copper,Noise level: 43 dB,Power Consumption: 968.61 kWh,Refrigerant: R-32A,Wi-Fi Enabled: No,1 Year Warranty on Product and 10 Years on Compressor,119,22,4.1,"₹30,999","₹52,999"
64,MarQ By Flipkart Convertible 4-in-1 Cooling, 1.5 Ton, 5 Star,split inverter ,White,Copper,Noise level: 43 dB,Power Consumption: 857.36 kWh,Refrigerant: R-32A,Wi-Fi Enabled: No,1 Year Warranty on Product and 10 Years on Compressor from MarQ by Flipkart,"1,974",278,3.9,"₹31,990","₹56,999"
65,Voltas, 0.8 Ton, 3 Star,split ,White,Copper,Noise level: 46 dB,Power Consumption: 826 W,Refrigerant: R22,Wi-Fi Enabled: No,1 Year Warranty on Product and 5 Years on Compressor From Voltas,"2,928",309,4.1,"₹26,999","₹48,990"
66,Blue Star, 1 Ton, 3 Star,window ,White,Copper,Noise level: 55 dB,Power Consumption: 1086 W,Refrigerant: R-32A,Wi-Fi Enabled: No,1 Year Warranty on Product and 5 Years on Compressor,47,6,4.1,"₹27,099","₹31,000"
68,CARRIER Flexicool Convertible 6-in-1 Cooling, 1.5 Ton, 5 Star,split inverter ,,Copper,Noise level: 38 dB,Power Consumption: 1380 W,Refrigerant: R32A,Wi-Fi Enabled: No,1 Year Warranty on Product and 10 Years on Compressor,"6,413",795,4.3,"₹42,999","₹74,090"
69,Whirlpool 4 in 1 Convertible Cooling, 1 Ton, 3 Star,split inverter ,White,Copper,Noise level: 45 dB,Power Consumption: 1080 W,Refrigerant: R-32A,Wi-Fi Enabled: No,1 Year Warranty on Product and 10 Years on Compressor,"1,554",169,4.1,"₹29,490","₹53,100"
70,Lloyd, 1.5 Ton, 3 Star,split inverter ,White,Copper,Noise level: 35 dB,Power Consumption: 1002.76 kWh,Refrigerant: R-32A,Wi-Fi Enabled: Yes,1 Year Comprehensive Warranty on Product and 10 Years on Compressor,7,0,2.1,"₹33,999","₹61,990"
71,Panasonic, 1.5 Ton, 3 Star,split inverter ,White,Copper,Noise level: 48 dB,Power Consumption: 1770 W,Refrigerant: R-32,Wi-Fi Enabled: Yes,"1 Year Comprehensive Warranty, 4 Years on PCB and 9 Years on Compressor","7,158",844,4.3,"₹36,990","₹55,400"
72,Blue Star Convertible 4-in-1 Cooling, 1.5 Ton, 3 Star,split inverter ,White,Copper,Noise level: 45 dB,Power Consumption: 1570 W,Refrigerant: R - 37,Wi-Fi Enabled: No,1 Year on Product and 10 Years Warranty on Compressor,219,20,3.8,"₹38,290","₹62,250"
74,IFB, 1.5 Ton, 5 Star,split dual inverter ,White,Copper,Noise level: 35 dB,Power Consumption: 1370 W,Refrigerant: R-32,Wi-Fi Enabled: No,"1 Year Warranty on Product, 5 Years on ODU PCB and 10 Years on Compressor from IFB","1,130",120,4.2,"₹37,990","₹50,990"
76,Daikin, 1.5 Ton, 5 Star,split inverter ,White,Copper,Noise level: 48 dB,Power Consumption: 1325 W,Refrigerant: R-32A,Wi-Fi Enabled: No,"1 Year Warranty on Product, 5 Years on PCB (Printed Circuit Board) and 10 Years on Compressor",576,54,4.2,"₹45,999","₹67,200"
77,Hitachi, 1 Ton, 3 Star,window ,White,Copper,Noise level: 50 dB,Power Consumption: 921 W,Refrigerant: R32A,Wi-Fi Enabled: No,1 Year Warranty on Product and 5 Years on Compressor,"1,280",139,4,"₹23,990","₹25,190"
78,Whirlpool, 1.5 Ton, 3 Star,split ,"White, Grey",Copper,Noise level: 36 dB,Power Consumption: 1410 W,Refrigerant: R32A,Wi-Fi Enabled: No,1 Year on Product and 5 Years on Compressor from Whirlpool.,"7,252",805,4.1,"₹31,690","₹44,400"
80,Blue Star Convertible 4-in-1 Cooling, 1 Ton, 5 Star,split inverter ,White,Copper,Noise level: 44 dB,Power Consumption: 955 W,Refrigerant: R - 38,Wi-Fi Enabled: No,1 Year on Product and 10 Years Warranty on Compressor,219,20,3.8,"₹35,990","₹59,500"
81,Daikin, 1 Ton, 3 Star,split ,White,Copper,Noise level: 37 dB,Power Consumption: 848 W,Refrigerant: R-32A,Wi-Fi Enabled: No,1 Year Warranty on Product and 5 Years on Compressor,158,13,4,"₹32,099","₹46,000"
82,Blue Star, 1.5 Ton, 3 Star,window ,White,Copper,Noise level: 55 dB,Power Consumption: 1207.61 kWh,,Wi-Fi Enabled: No,1 Year on Product and 5 Years on Compressor,nan,,,"₹28,490","₹37,500"
84,Lloyd, 1.2 Ton, 5 Star,split inverter ,White,Copper,Noise level: 32 dB,Power Consumption: 690.69 kWh,Refrigerant: R-32A,Wi-Fi Enabled: No,1 Year Comprehensive Warranty on Product and 10 Years on Compressor,nan,,,"₹37,499","₹56,990"
85,Blue Star, 1 Ton, 5 Star,window ,White,Copper,Noise level: 55 dB,Power Consumption: 1015 W,Refrigerant: R-32A,Wi-Fi Enabled: No,1 Year Warranty on Product and 5 Years on Compressor,25,4,4.1,"₹27,990","₹35,000"
88,realme TechLife 4-in-1 Convertible, 1.5 Ton, 5 Star,split inverter ,White,Copper,Noise level: 43 dB,Power Consumption: 837.93 kWh,Refrigerant: R-32A,Wi-Fi Enabled: No,1 Year Warranty on Product and 10 Years on Compressor,119,22,4.1,"₹33,490","₹56,999"
89,Voltas, 2 Ton, 3 Star,split ,White,Copper,Noise level: 44 dB,Power Consumption: 1937 W,Refrigerant: R32,Wi-Fi Enabled: No,1 Year on Product and 5 Years on Compressor from Voltas,"13,113","1,279",4.2,"₹42,999","₹69,990"
90,Panasonic, 1.5 Ton, 3 Star,split inverter ,White,Copper,Noise level: 48 dB,Power Consumption: 1770 W,Refrigerant: R-32,Wi-Fi Enabled: No,"1 Year Comprehensive Warranty, 4 Years on PCB and 9 Years on Compressor",917,110,4.2,"₹35,990","₹54,400"
92,LG Super Convertible 5-in-1 Cooling, 1.5 Ton, 3 Star,split dual inverter ,,Copper,Noise level: 26 dB,Power Consumption: 1050.84 kWh,Refrigerant: R32A,Wi-Fi Enabled: No,"1 Year Warranty on Product, 5 Years on PCB and 10 Years on Compressor with Gas Charging",687,77,4.1,"₹37,499","₹68,990"
93,Panasonic, 1 Ton, 3 Star,split inverter ,White,Copper,Noise level: 45 dB,Power Consumption: 1095 W,Refrigerant: R-32,Wi-Fi Enabled: No,"1 Year Comprehensive Warranty, 4 Years on PCB and 9 Years on Compressor",917,110,4.2,"₹32,490","₹47,100"
94,Panasonic, 2 Ton, 5 Star,split inverter ,White,Copper,Noise level: 50 dB,Power Consumption: 1740 W,Refrigerant: R-32,Wi-Fi Enabled: Yes,"1 Year Comprehensive Warranty, 4 Years on PCB, 9 Years on Compressor and 4 Years on ODU Casing","7,158",844,4.3,"₹54,990","₹77,150"
96,Hitachi, 1.5 Ton, 5 Star,window ,White,Copper,Noise level: 50 dB,Power Consumption: 1134.28 W,Refrigerant: R32A,Wi-Fi Enabled: No,1 Year Warranty on Product and 5 Years on Compressor,"1,280",139,4,"₹36,299","₹38,999"
97,Daikin, 1 Ton, 5 Star,split inverter ,White,Copper,Noise level: 42 dB,Power Consumption: 940 W,Refrigerant: R-32A,Wi-Fi Enabled: No,"1 Year Warranty on Product, 5 Years on PCB (Printed Circuit Board) and 10 Years on Compressor",576,54,4.2,"₹38,999","₹55,500"
98,LG Convertible 4-in-1 Cooling, 1 Ton, 5 Star,split dual inverter ,White,Copper,Noise level: 21 dB,Power Consumption: 571.99 kWh,Refrigerant: R32,Wi-Fi Enabled: No,"1 Year on Product, 1 Year on Condenser and 10 Years on Compressor from LG","9,427","1,214",4.3,"₹36,990","₹58,990"
100,MarQ By Flipkart Convertible 4-in-1 Cooling, 0.8 Ton, 3 Star,split inverter ,White,Copper,Noise level: 40 dB,Power Consumption: 578.54 kWh,Refrigerant: R-32A,Wi-Fi Enabled: No,1 Year Warranty on Product and 10 Years on Compressor from MarQ by Flipkart,"1,974",278,3.9,"₹24,499","₹45,499"
102,Haier, 1.25 Ton, 3 Star,split inverter ,White,Copper,Noise level: 36 dB,Power Consumption: 1315 W,Refrigerant: R32,Wi-Fi Enabled: No,1 Year Warranty on Product and 12 Years on Compressor,"1,375",183,4.1,"₹29,990","₹57,000"
104,LG, 1.5 Ton, 5 Star,window smart,White,Copper,Noise level: 44 dB,Power Consumption: 5000 W,Refrigerant: R-32 ,Wi-Fi Enabled: Yes,"1 Year (Comprehensive), 10 Years (Compressor with Gas Charging)","2,062",254,4.3,"₹38,999","₹48,990"
105,Voltas, 1.5 Ton, 3 Star,split ,White,Copper,Noise level: 47 dB,Power Consumption: 1450 W,Refrigerant: R-32,Wi-Fi Enabled: No,1 Year on Product and 5 Years on Compressor,"13,113","1,279",4.2,"₹33,999","₹51,990"
106,Voltas, 1 Ton, 3 Star,split ,White,Copper,Noise level: 59 dB,Power Consumption: 1720 W,,Wi-Fi Enabled: No,1 Year on Product and 5 Years on Compressor from Voltas,29,2,3.7,"₹29,990","₹49,490"
108,Lloyd, 1 Ton, 3 Star,split ,White,Copper,Noise level: 40 dB,Power Consumption: 735.4 kWh,Refrigerant: R-32A,Wi-Fi Enabled: No,1 Year Comprehensive Warranty on Product and 5 Years on Compressor,31,2,3.9,"₹27,999","₹41,990"
109,MarQ By Flipkart Convertible 4-in-1 Cooling, 1.2 Ton, 3 Star,split inverter ,White,Copper,Noise level: 40 dB,Power Consumption: 841.63 kWh,Refrigerant: R-32A,Wi-Fi Enabled: No,1 Year Warranty on Product and 10 Years on Compressor from MarQ by Flipkart,"1,974",278,3.9,"₹26,499","₹47,499"
110,Lloyd, 1 Ton, 3 Star,window ,White,Copper,Noise level: 52 dB,Power Consumption: 808.94 kWh,Refrigerant: R-32A,Wi-Fi Enabled: No,1 Year Comprehensive Warranty on Product and 5 Years on Compressor,14,0,4.5,"₹23,999","₹33,990"
112,Daikin, 1.5 Ton, 3 Star,split inverter ,White,Copper,Noise level: 35 dB,Power Consumption: 1752 W,Refrigerant: R32,Wi-Fi Enabled: No,1 Year on Product and 5 Years on Compressor from Daikin,"2,367",222,4.2,"₹35,490","₹50,300"
113,Thomson 4 in 1 Convertible Cooling, 1.5 Ton, 3 Star,split inverter ,White,Copper,Noise level: 49 dB,Power Consumption: 1640 W,Refrigerant: R - 32,Wi-Fi Enabled: No,1 Year on Product and 10 Years on Compressor Warranty,116,26,4.2,"₹30,999","₹43,998"
114,Lloyd, 1.2 Ton, 3 Star,split inverter ,White,Copper,Noise level: 32 dB,Power Consumption: 918.14 kWh,Refrigerant: R-32A,Wi-Fi Enabled: No,1 Year Comprehensive Warranty on Product and 10 Years on Compressor,5,0,2.2,"₹31,499","₹51,990"
116,Haier, 0.9 Ton, 3 Star,split ,White,Copper,Noise level: 26 dB,Power Consumption: 704 W,Refrigerant: R - 32,Wi-Fi Enabled: No,1 Year Warranty on Product and 6 Years on Compressor From Haier,14,1,4.1,"₹24,990","₹50,990"
117,Midea, 1 Ton, 3 Star,split ,White,Copper,Noise level: 32 dB,Power Consumption: 980 W,Refrigerant: R-32A,Wi-Fi Enabled: No,1 Year Warranty on Product and 10 Years on Compressor,nan,,,"₹26,999","₹46,590"
118,Lloyd, 1 Ton, 3 Star,split ,White,Copper,Noise level: 40 dB,Power Consumption: 743.14 kWh,Refrigerant: R-32A,Wi-Fi Enabled: No,1 Year Comprehensive Warranty on AC and 5 Years on Compressor From Lloyd,788,68,4.1,"₹26,500","₹41,990"
120,CARRIER 4 in 1 Convertible Cooling, 2 Ton, 5 Star,split inverter ,White,Copper,Noise level: 38 dB,Power Consumption: 1780 W,Refrigerant: R32,Wi-Fi Enabled: No,"1 Year Warranty on Product, 2 Years on PCB and 10 Years on Compressor from Carrier","6,413",795,4.3,"₹51,999","₹74,990"
121,Voltas, 1.5 Ton, 3 Star,window ,White,Copper,,Power Consumption: 1649 W,Refrigerant: R-22,Wi-Fi Enabled: No,1 Year on Product and 4 Years on Compressor,"2,478",307,4.3,"₹28,999","₹34,490"
122,ONIDA, 1.5 Ton, 3 Star,split dual inverter ,White,Copper,Noise level: 45 dB,Power Consumption: 1820 W,Refrigerant: R32A,Wi-Fi Enabled: No,1 Year on Product and 5 Year on Compressor from Onida,"5,081",601,4.3,"₹31,499","₹53,490"
124,Voltas 2 in 1 Convertible Cooling, 1.6 Ton, 3 Star,split inverter ,White,Copper,Noise level: 46 dB,Power Consumption: 1880 W,,Wi-Fi Enabled: No,1 Year on Product and 5 Years on Compressor from Voltas,"12,993","1,330",4.3,"₹36,999","₹65,990"
125,LG, 1.5 Ton, 5 Star,split dual inverter ,White,Copper,Noise level: 31 dB,Power Consumption: 818.81 kWh,Refrigerant: R32,Wi-Fi Enabled: No,"1 Year Warranty on Product, 5 Years on PCB and 10 Years on Compressor",nan,,,"₹43,990","₹75,990"
126,SAMSUNG Super Convertible 6-in-1 Cooling, 1.5 Ton, 5 Star,split inverter ,White,Copper,Noise level: 45 dB,Power Consumption: 1350 W,Refrigerant: R - 32,Wi-Fi Enabled: No,1 Year Standard Warranty on Product and 10 Years Warranty on Compressor From Samsung,44,5,4.4,"₹44,990","₹70,990"
128,LG Super Convertible 5-in-1 Cooling, 1 Ton, 3 Star,split dual inverter ,,Copper,Noise level: 21 dB,Power Consumption: 680.58 kWh,Refrigerant: R32A,Wi-Fi Enabled: No,"1 Year Warranty on Product, 5 Years on PCB and 10 Years on Compressor with Gas Charging",687,77,4.1,"₹34,490","₹59,990"
129,Godrej, 1 Ton, 3 Star,split inverter ,White,Copper,Noise level: 40 dB,Power Consumption: 752.51 kWh,Refrigerant: R32A,Wi-Fi Enabled: No,1 Year Warranty on Product and 10 Years on Compressor,21,2,4.4,"₹27,999","₹42,900"
130,Voltas 2 in 1 Convertible Cooling, 1.2 Ton, 3 Star,split inverter ,White,Copper,Noise level: 44 dB,Power Consumption: 1430 W,,Wi-Fi Enabled: No,1 Year on Product and 5 Years on Compressor from Voltas,"7,932",969,4.2,"₹30,999","₹54,990"
132,Lloyd, 1.5 Ton, 5 Star,split inverter ,White,Copper,Noise level: 35 dB,Power Consumption: 864.66 kWh,Refrigerant: R - 32,Wi-Fi Enabled: No,1 Year Comprehensive Warranty on AC and 10 Years on Compressor,nan,,,"₹38,499","₹61,990"
133,Panasonic, 1 Ton, 3 Star,split inverter ,White,Copper,Noise level: 45 db,Power Consumption: 731.44 kWh,Refrigerant: R-32,Wi-Fi Enabled: No,"1 Year Comprehensive on Warranty Product, 4 Years on PCB and 9 Years On Compressor",917,110,4.2,"₹31,990","₹42,200"
134,Lloyd, 1.5 Ton, 3 Star,split inverter ,White,Copper,Noise level: 42 dB,Power Consumption: 1030.5 kWh,Refrigerant: R-32,Wi-Fi Enabled: No,1 Year Comprehensive Warranty on AC and 10 Years on Compressor From Lloyd,"1,516",149,4.3,"₹36,399","₹58,990"
136,Whirlpool, 1.5 Ton, 5 Star,split inverter ,White,Copper,Noise level: 35 dB,Power Consumption: 920 W,,Wi-Fi Enabled: No,"1 Year on Product, 1 Year on Condenser and 10 Years on Compressor from Whirlpool",128,14,4.1,"₹36,580","₹62,434"
137,LG, 1 Ton, 3 Star,split dual inverter ,White,Copper,Noise level: 21 dB,Power Consumption: 680.58 kWh,Refrigerant: R32A,Wi-Fi Enabled: No,"1 Year Warranty on Product, 5 Years on PCB and 10 Years on Compressor with Gas Charging",26,3,4.5,"₹33,990","₹57,990"
138,Lloyd, 1.5 Ton, 4 Star,window ,White,Copper,Noise level: 54 dB,Power Consumption: 1180.51 kWh,Refrigerant: R-32A,Wi-Fi Enabled: No,1 Year Comprehensive Warranty on Product and 5 Years on Compressor,62,6,4,"₹28,499","₹38,990"
140,SAMSUNG 5 in 1 convertible cooling, 1.5 Ton, 3 Star,split inverter ,"White, Purple",Copper,Noise level: 45 dB,Power Consumption: 1700 W,Refrigerant: R32,Wi-Fi Enabled: No,1 Year Warranty on Product and 10 Years on Compressor,3,0,4.7,"₹34,999","₹57,990"
141,Thomson, 1 Ton, 3 Star,split ,White,Copper,Noise level: 48 dB,Power Consumption: 944 W,Refrigerant: R - 32,Wi-Fi Enabled: No,1 Year on Product and 10 Years on Compressor Warranty,11,2,4.5,"₹26,490","₹37,998"
142,SAMSUNG, 2 Ton, 4 Star,split inverter ,White,Copper,Noise level: 45 dB,Power Consumption: 1820 W,Refrigerant: R-32A,Wi-Fi Enabled: No,1 Year Standard Warranty on Product and 10 Years on Compressor,"19,774","2,004",4.2,"₹46,990","₹77,990"
144,Hitachi, 1 Ton, 3 Star,split inverter ,White,Copper,Noise level: 36 dB,Power Consumption: 688.96 kWh,,Wi-Fi Enabled: No,1 Year on Product and 10 Years on Compressor,nan,,,"₹31,990","₹49,999"
145,Panasonic, 2 Ton, 5 Star,split inverter smart,White,Copper,Noise level: 43 dB,Power Consumption: 1013.01 W,Refrigerant: R-32,Wi-Fi Enabled: Yes,"1 Year Product Warranty, 10 Years Compressor Warranty, 5 Years PCB  Warranty","7,158",844,4.3,"₹53,990","₹69,000"
146,Panasonic, 1 Ton, 3 Star,split inverter ,White,Copper,Noise level: 45 dB,Power Consumption: 1095 W,Refrigerant: R-32,Wi-Fi Enabled: Yes,"1 Year Comprehensive Warranty, 4 Years on PCB and 9 Years on Compressor","7,158",844,4.3,"₹33,490","₹48,100"
148,LG, 1 Ton, 4 Star,split dual inverter ,White,Copper,Noise level: 21 dB,Power Consumption: 649.33 kWh,Refrigerant: R-32A,Wi-Fi Enabled: No,"1 Year Warranty on Product, 5 Years on PCB, and 10 Years on Compressor with Gas Charging",4,1,4.5,"₹34,990","₹60,990"
149,SAMSUNG, 1.5 Ton, 5 Star,split inverter ,White,Copper,Noise level: 59 dB,Power Consumption: 1380 W,Refrigerant: R - 32,Wi-Fi Enabled: Yes,"1 Year on product 5 Years Warranty On Condenser, 10 Years Warranty On Compressor",3,0,4.7,"₹42,475","₹55,500"
150,SAMSUNG, 1.5 Ton, 4 Star,split inverter ,"White, Blue",Copper,Noise level: 36 dB,Power Consumption: 1490 W,Refrigerant: R32,Wi-Fi Enabled: No,1 Year Warranty on Product and 10 Years on Compressor,4,1,3.3,"₹37,475","₹68,990"
