,Brands,Ton,Star,Type,Color,Condenser_Coil,Noise(dB),Power_Consumption,Refrigerant,Wi_Fi Enabled,Warranty,Ratings_Count,Reviews_Count,Avg_star,Offer_Price,Actual_Price
628,LG, 1.5 Ton, 3 Star,split dual inverter ,White,Copper,Noise level: 26 dB,Power Consumption: 1050.84 W,Refrigerant: R-32,Wi-Fi Enabled: No,1 Year Comprehensive Warranty on Product and 10 Years on Compressor (With Gas Charging),17,1,4.6,"₹39,990","₹57,990"
629,Thomson 4 in 1 Convertible Cooling, 1 Ton, 3 Star,split inverter ,White,Copper,Noise level: 44 dB,Power Consumption: 1095 W,Refrigerant: R - 32,Wi-Fi Enabled: No,1 Year on Product and 10 Years on Compressor Warranty,116,26,4.2,"₹27,799","₹39,998"
630,Croma, 1.5 Ton, 3 Star,window ,Pale White,Copper,Noise level: 52 dB,Power Consumption: 1600 W,Refrigerant: R-32A,Wi-Fi Enabled: No,1 Year Comprehensive Warranty on Product and 5 Years on Compressor,nan,,,"₹28,890","₹36,000"
632,Voltas, 1.5 Ton, 5 Star,window ,White,Copper,Noise level: 54 dB,Power Consumption: 1525 W,Refrigerant: R-32,Wi-Fi Enabled: No,1 Year on Product and 4 Years on Compressor,"2,099",248,4.3,"₹34,449","₹34,590"
633,SAMSUNG, 1.5 Ton, 4 Star,split inverter ,White,,,,,Wi-Fi Enabled: No,,5,2,4.4,"₹41,599","₹52,990"
634,SAMSUNG, 1 Ton, 3 Star,split ,"White, Blue",Copper,Noise level: 28 dB,Power Consumption: 1150 W,,Wi-Fi Enabled: No,1 Year Warranty on Product and 5 Years On Compressor,4,1,5,"₹29,990","₹36,000"
636,Haier, 1.5 Ton, 3 Star,split ,White,Copper,Noise level: 40 dB,Power Consumption: 1451 W,Refrigerant: R32,Wi-Fi Enabled: No,"1 Year on Product (Comprehensive), 6 Years on Compressor.",91,9,4.4,"₹33,490","₹54,500"
637,Lloyd, 1.5 Ton, 5 Star,window ,White,Copper,Noise level: 52 dB,Power Consumption: 1114.71 kWh,Refrigerant: R-32A,Wi-Fi Enabled: No,1 Year Comprehensive Warranty on Product and 5 Years on Compressor,6,0,4.2,"₹30,990","₹45,990"
638,Daikin, 1.8 Ton, 5 Star,split inverter ,White,Copper,Noise level: 38 dB,Power Consumption: 1665 W,Refrigerant: R-32,Wi-Fi Enabled: No,1 Year on Product and 10 Years on Compressor From Daikin,47,5,4.3,"₹57,890","₹70,000"
640,Godrej, 1.5 Ton, 3 Star,split inverter ,White,Copper,Noise level: 62 dB,Power Consumption: 1570 W,Refrigerant: R32,Wi-Fi Enabled: No,1 Year Comprehensive and 10 Years Warranty On Inverter Compressor from Godrej,16,0,4.3,"₹33,399","₹44,900"
